user_id,place_id,rating,form_version,study_frequency,main_study_purpose,usual_group_size,noise_tolerance,crowd_tolerance,wifi_importance,outlet_importance,table_capacity_importance,distance_tolerance,preferred_study_time,study_on_sundays,usual_group_size_raw,avg_session_spending_raw,avg_session_spending_numeric,avg_session_spending_open_ended,distance_tolerance_raw,distance_tolerance_unlimited,study_on_sundays_numeric,place_name,area,place_type,maps_url,noise_level,crowd_level,table_capacity,wifi_quality,power_outlet_availability,average_price,distance_to_binus_km,open_time,close_time,open_on_sundays,open_minutes,close_minutes,is_24_hours,closes_next_day,opening_duration_hours,noise_gap,crowd_gap,wifi_gap,outlet_gap,table_capacity_gap,price_gap,distance_gap,sunday_match,preferred_time_match
u14,18,5.0,d,3,Casual study,2,4,4,2,2,2,3.0,Evening,Sometimes,2,"50,000",50000.0,0,3,0,0.5,ARAH Coffee Alam Sutera,Alam Sutera,Cafe,https://maps.app.goo.gl/9BRJGort6KopGVKL9,2,2,4,5,5,50000,0.5,00:00,23:59,1,0,1439,1,0,24.0,-2,-2,3,3,2,0.0,-2.5,0.5,1.0
u14,19,3.0,d,3,Casual study,2,4,4,2,2,2,3.0,Evening,Sometimes,2,"50,000",50000.0,0,3,0,0.5,Good Friends Bistro & Cafe Alam Sutera,Alam Sutera,Cafe,https://maps.app.goo.gl/VkhbcUwuLJcMgmyV7?g_st=ac,2,2,4,5,5,75000,0.3,08:00,22:00,1,480,1320,0,0,14.0,-2,-2,3,3,2,25000.0,-2.7,0.5,1.0
u14,24,3.0,d,3,Casual study,2,4,4,2,2,2,3.0,Evening,Sometimes,2,"50,000",50000.0,0,3,0,0.5,1/15 Coffee Alam Sutera,Alam Sutera,Cafe,https://maps.app.goo.gl/dkXVdXBFuCkT1VD7A?g_st=ac,3,4,4,5,3,75000,1.6,07:00,21:00,1,420,1260,0,0,14.0,-1,0,3,1,2,25000.0,-1.4,0.5,1.0
u14,27,3.0,d,3,Casual study,2,4,4,2,2,2,3.0,Evening,Sometimes,2,"50,000",50000.0,0,3,0,0.5,Solaria - Mall @ Alam Sutera,Alam Sutera,Restaurant / Fast Food,https://maps.app.goo.gl/xfuBB5EQpH4ruyHGA,3,3,4,1,2,60000,0.7,10:00,22:00,1,600,1320,0,0,12.0,-1,-1,-1,0,2,10000.0,-2.3,0.5,1.0
u14,34,4.0,d,3,Casual study,2,4,4,2,2,2,3.0,Evening,Sometimes,2,"50,000",50000.0,0,3,0,0.5,Kopi Nako Alam Sutera,Alam Sutera,Cafe,https://maps.app.goo.gl/mzpNHiA97wjaHvmXA,4,4,6,3,3,50000,2.2,09:00,20:00,1,540,1200,0,0,11.0,0,0,1,1,4,0.0,-0.7999999999999998,0.5,1.0
u14,39,2.0,d,3,Casual study,2,4,4,2,2,2,3.0,Evening,Sometimes,2,"50,000",50000.0,0,3,0,0.5,Aruku Coffee and Studio Gading Serpong,Gading Serpong,Cafe,https://maps.app.goo.gl/cLfBUfsp3ShthTpdA?g_st=ac,3,3,4,4,4,65000,11.0,07:00,22:00,1,420,1320,0,0,15.0,-1,-1,2,2,2,15000.0,8.0,0.5,1.0
u15,1,4.0,e,4,Coding / laptop work,2,2,2,5,5,3,20.0,No Preference,Yes,2,>100000,125000.0,1,Distance does not matter,1,1.0,LKC Discussion Room,BINUS Alam Sutera,Campus Space,https://maps.app.goo.gl/CRkRgCxV6U5izVxt5,1,1,8,3,5,0,0.0,09:00,17:00,0,540,1020,0,0,8.0,-1,-1,-2,0,6,-125000.0,-20.0,0.0,1.0
u15,3,3.0,e,4,Coding / laptop work,2,2,2,5,5,3,20.0,No Preference,Yes,2,>100000,125000.0,1,Distance does not matter,1,1.0,McDonald's Downtown Alam Sutera,Alam Sutera,Restaurant / Fast Food,https://maps.app.goo.gl/AgJAKPBdUYqTKXSR6,4,3,4,4,3,60000,1.3,00:00,23:59,1,0,1439,1,0,24.0,2,1,-1,-2,2,-65000.0,-18.7,1.0,1.0
u15,20,5.0,e,4,Coding / laptop work,2,2,2,5,5,3,20.0,No Preference,Yes,2,>100000,125000.0,1,Distance does not matter,1,1.0,Starbucks DT Pacific Garden Alam Sutera,Alam Sutera,Cafe,https://maps.app.goo.gl/SU1XB2nxLQsGJuN6A,2,3,3,5,5,75000,0.3,07:00,22:00,1,420,1320,0,0,15.0,0,1,0,0,1,-50000.0,-19.7,1.0,1.0
u15,35,4.0,e,4,Coding / laptop work,2,2,2,5,5,3,20.0,No Preference,Yes,2,>100000,125000.0,1,Distance does not matter,1,1.0,Two Stories Resto & Lounge,Alam Sutera,Restaurant / Fast Food,https://maps.app.goo.gl/FTQGbdiW11xiM9qK9,3,3,4,3,4,150000,2.2,10:00,23:59,1,600,1439,0,0,13.983333333333333,1,1,-2,-1,2,25000.0,-17.8,1.0,1.0
